Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
BIOL 10 (Section 01),40443,In Person,The Living World,GE: B2,3.0,LEC,TR,09:00AM-10:15AM,Allison Harness,SCI164,08/21/24-12/09/24,9,2024,Fall
BIOL 10 (Section 03),43809,In Person,The Living World,GE: B2,3.0,LEC,MW,10:30AM-11:45AM,Allison Harness,SCI164,08/21/24-12/09/24,4,2024,Fall
BIOL 10 (Section 04),46833,In Person,The Living World,GE: B2,3.0,LEC,MW,03:00PM-04:15PM,Allison Harness,DH351,08/21/24-12/09/24,0,2024,Fall
BIOL 10 (Section 80),41345,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Inez Yuwanita,ONLINE,08/21/24-12/09/24,8,2024,Fall
BIOL 10 (Section 99),44801,Fully Online,The Living World,GE: B2,3.0,LEC,TBA,TBA,Mary Poffenroth,ONLINE,08/21/24-12/09/24,1,2024,Fall
CHEM 1A (Section 01),40078,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,09:30AM-10:20AM,Melody Esfandiari,SCI142,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 02),40079,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,10:30AM-11:20AM,Melody Esfandiari,MD101,08/21/24-12/09/24,4,2024,Fall
CHEM 1A (Section 03),41176,In Person,General Chemistry,GE: B1+B3,5.0,LEC,MWF,01:30PM-02:20PM,John Diniz,MD101,08/21/24-12/09/24,14,2024,Fall
CHEM 1A (Section 04),40739,In Person,General Chemistry,,0,SEM,F,07:30AM-08:20AM,Niloofar Salehi,SCI142,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 05),40080,In Person,General Chemistry,,0,SEM,F,08:30AM-09:20AM,Niloofar Salehi,SCI164,08/21/24-12/09/24,3,2024,Fall
CHEM 1A (Section 06),41179,In Person,General Chemistry,,0,SEM,F,09:30AM-10:20AM,Laura Mugica Sanchez,SCI164,08/21/24-12/09/24,0,2024,Fall
CHEM 1A (Section 07),40490,In Person,General Chemistry,,0,SEM,F,10:30AM-11:20AM,John Diniz,SCI164,08/21/24-12/09/24,2,2024,Fall
CHEM 1A (Section 08),40574,In Person,General Chemistry,,0,SEM,F,11:30AM-12:20PM,Kala Padmanabhan,SCI142,08/21/24-12/09/24,7,2024,Fall
